rndrng_prvdr_type,total_providers,avg_risk_score,high_risk_providers,total_medicare_payment,total_services
Plastic and Reconstructive Surgery,3907,10.839845998842206,21,450375734.58,2421592.9
Podiatry,15526,13.247143670380959,92,2550440857.51,34038886.1
Portable X-Ray Supplier,289,32.577970011360534,14,218205280.45,5127655.0
Preventive Medicine,263,9.362077834011318,1,27081601.61,273021.0
Prosthodontics,2,7.61339674491248,0,25599.71,159.0
Psychiatry,19778,9.191174244642887,5,655694331.02,9543918.1
"Psychologist, Clinical",11986,14.708610238372637,0,445585357.62,5836517.6
Public Health or Welfare Agency,196,17.506177686802353,0,7900737.86,113675.0
Pulmonary Disease,10766,8.705590425402127,6,1059959433.21,17438905.9
Radiation Oncology,5045,20.94600742052354,28,1476159958.37,14285569.0
Radiation Therapy Center,27,55.30785138367828,1,25094296.44,131283.0
Registered Dietitian or Nutrition Professional,2169,6.743946546053254,0,13544303.59,473980.9
Rheumatology,5133,29.716960651090663,423,2565394452.84,210984920.3
Sleep Medicine,876,7.191120372059444,1,55845372.43,821838.0
Slide Preparation Facility,9,24.7858891510531,0,1447702.4300000002,42815.0
Speech Language Pathologist,2738,13.622277580558839,0,83395282.19,1820499.5
Sports Medicine,1950,11.283740846354169,1,163857202.42,7984626.9
Surgical Oncology,1234,7.737293218622512,2,82303982.67,586158.0
Thoracic Surgery,2598,11.579354339842078,3,247890793.81,886217.0
Undefined Physician type,182,12.554725779789143,1,27682460.91,530710.0
Undersea and Hyperbaric Medicine,114,11.505548773787863,3,23097336.76,214973.0
Unknown Supplier/Provider Specialty,39,10.648304177472989,0,1034120.87,13845.0
Urology,9466,15.216533411866084,8,1618865849.9,61161236.6
Vascular Surgery,3903,15.335192299261779,18,866030326.83,6919483.2
